Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,20130327,20284307,21378117,22733049,23560654,24404567,25424094,25909852,26482622,27466101,28284089,29347708,30560034,31622704,32792523,33831764,34700612,35688935,36743039,37856121,39068979,40000412,40578842,41454761,42647492
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,3521418059.92345,2813571753.87253,3825701438.99963,4520946818.54581,5224896718.67782,6203256538.70967,6971758282.29351,9747886187.39393,10109297047.5432,12416152732.0567,15856668555.8336,17805098206.3141,19907329777.5872,20146416757.5987,20497128555.6972,19134221644.7325,18116572395.0772,18753456497.8159,18053222687.4126,18799444490.1128,19955929052.1496,14259995441.0759,14497243872.1337,17152234636.8715,..
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,174.930991430166,138.706821676113,178.954088379235,198.871115728727,221.763653873013,254.184249149336,274.218553561575,376.223152003876,381.73323802844,452.053705477043,560.621505463146,606.694676337726,651.417134470046,637.087099117099,625.054941813938,565.569730408751,522.082215583898,525.469770891619,491.337221382603,496.6025042585,510.787063366811,356.496214115892,357.261152798144,413.757894705303,..
Afghanistan,AFG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,31.4500007629394,..,..,..,33.75,..,..,..,..,35.9865546430738,37.2700004577637,..,..,..
Africa Eastern and Southern,AFE,"Population, total",SP.POP.TOTL,406156661,416807868,427820358,439173286,450928044,463076637,475606210,488580707,502070763,516003448,530308387,544737983,559609961,575202699,590968990,607123269,623369401,640058741,657801085,675950189,694446100,713090928,731821393,750503764,769294618
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,287201651521.163,260992228316.31,267815037639.861,355716369817.829,442696186423.428,516661066865.396,580240750535.502,665598701333.933,713502106251.46,715485349813.383,849409606774.9,945439030450.479,952998471719.373,962441293816.426,978743758351.278,898308853395.359,828961170566.435,973025126473.894,1012291194268.21,1009746517725.42,933407232177.078,1085604883589.65,1191638638185.25,1133818271029.39,1205973813871.44
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,707.120377674078,626.169149753934,625.998816166344,809.968140498029,981.744631574583,1115.71395657647,1220.00246913408,1362.31065164416,1421.11861281885,1386.59024970969,1601.72765054704,1735.58492331253,1702.9691001504,1673.22110186487,1656.16770915726,1479.61525980543,1329.80728479234,1520.21223076132,1538.90167917284,1493.81793829992,1344.10320999294,1522.3933455926,1628.31894446307,1510.74295082335,1567.63583892828
Africa Eastern and Southern,AFE,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,62.666618347168,63.1577606201172,63.8376197814941,64.3340606689453,64.5749130249023,63.9414710998535,61.9459114074707,62.9699592590332,63.2282295227051,63.9608116149902,64.7143630981445,66.8281402587891,68.5151901245117,69.3683166503906,69.8328170776367,70.2378387451172,70.9572677612305,70.8797302246094,71.6701889038086,72.8010787963867,72.9768905639648,72.7159729003906,73.0559768676758,73.3681411743164,73.6951293945312
Africa Western and Central,AFW,"Population, total",SP.POP.TOTL,274968446,282780717,290841795,299142845,307725100,316588476,325663158,334984176,344586109,354343844,364358270,374790143,385360349,396030207,406992047,418127845,429454743,440882906,452195915,463365429,474569351,485920997,497387180,509398589,521764076
Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,142140075688.035,150058483260.659,179390065281.314,207754986323.249,258566656910.949,317096476047.265,402724221239.257,471537814858.507,575059454850.507,515474028936.376,606280114370.887,691187455140.185,748126849686.918,844202569830.553,903933677159.723,778022060796.81,700028171710.17,694051344215.045,777840407639.927,833288902800.025,797295175501.973,858114511231.434,893639944629.861,814728528754.188,670025655309.603
Africa Western and Central,AFW,GDP per capita (current US$),NY.GDP.PCAP.CD,516.932316255791,530.653167771193,616.796032637998,694.500937581338,840.252085094615,1001.60460688173,1236.62812739554,1407.64205786994,1668.84108160758,1454.72833143498,1663.96693663873,1844.1985949993,1941.36955612659,2131.66206746081,2221.01066549765,1860.72769393488,1630.03944681121,1574.23056047232,1720.14027955102,1798.34068458315,1680.03933212698,1765.9547879785,1796.66863273368,1599.39298291654,1284.15444092323
Africa Western and Central,AFW,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,47.6228103637695,48.8175086975098,49.5582504272461,50.1448593139648,51.4858207702637,51.6088981628418,52.296558380127,50.3038215637207,50.7501983642578,50.8471183776855,51.3876495361328,52.4428787231445,53.0023918151855,53.8403511047363,54.5429992675781,55.4100189208984,55.8716201782227,56.8785209655762,60.3549499511719,60.1363906860352,60.2528114318848,60.5108909606934,60.7809791564941,61.0263595581055,61.1739692687988
Albania,ALB,"Population, total",SP.POP.TOTL,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837849,2811666,2777689,2745972,2714617
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,3584570164.85195,4059064033.13379,4515003116.68036,5801712040.48463,7406645793.44038,8256658249.8128,9150528132.17633,11116937869.8568,13258506375.4518,12335540656.1006,12086545641.299,12973755874.5365,12246499747.9714,12796985886.1478,13296322588.1684,11470171826.9575,11988668784.6628,13258268435.6048,15379508329.7568,15585111614.0376,15241455556.3737,18032009220.4405,19017244116.7203,23547180412.3404,27177735527.5667
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,1160.42047054038,1326.41652388077,1479.83884572006,1908.69900687608,2446.90949947798,2741.72136549578,3057.77257038113,3743.05529896187,4498.50486763601,4213.65007574693,4149.14469936847,4465.70914328865,4222.3470988913,4420.23461988353,4602.23051443229,3981.72662261867,4168.37544462548,4614.0479692596,5365.48880180298,5460.4305086932,5370.77749956875,6413.28280828537,6846.42669381643,8575.17134637222,10011.6279856667
Albania,ALB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,98.7099990844727,..,..,..,..,..,..,95.9400024414062,..,..,96.8499984741211,97.25,..,..,..,..,98.8199996948242,..,..,..,..,..,97.6800003051758,..
Algeria,DZA,"Population, total",SP.POP.TOTL,30903893,31331221,31750835,32175818,32628286,33109249,33623506,34189416,34816961,35490445,36188236,36903376,37646166,38414171,39205031,40019529,40850721,41689299,42505035,43294546,44042091,44761099,45477389,46164219,46814308
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,54790398570.3282,59413400923.6364,61516103406.1688,73482264190.9245,91913680985.1708,107046618669.707,123084258693.01,142482739809.849,180383848331.135,150317292079.359,177785053939.531,218331946925.304,227143746075.934,229701430292.157,238942664192.59,187493855609.345,180763839522.151,189880896903.073,194554483655.528,193459662090.677,164873415325.201,186231205262.082,225638456572.143,247626161016.414,263619794506.723
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,1772.92869122761,1896.30020878013,1937.46411413019,2283.77299346126,2816.99384960555,3233.13339634212,3660.66104745322,4167.45169937531,5180.91881514686,4235.42990456612,4912.78585503672,5916.31364364343,6033.64884689543,5979.60138960585,6094.69392314956,4685.05902729002,4424.98529027556,4554.66753957828,4577.21029180491,4468.45341883656,3743.5419522929,4160.55926736925,4961.55257664733,5364.02795022731,5631.17999109851
Algeria,DZA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,69.870002746582,..,..,..,72.6500015258789,..,75.1399993896484,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Population, total",SP.POP.TOTL,56855,57053,57062,56971,56818,56617,56374,56113,55828,55528,55228,54895,54489,54006,53466,52878,52245,51586,50908,50209,49761,49225,48342,47521,46765
